epoch,argument_candidate_acc,loss,lr,val_argument_candidate_acc,val_loss
0,0.05467557,1.406239024535355,5e-07,0.09691576,0.886602464778561
1,0.22499469,0.6583325017253886,1e-06,0.36894035,0.42539912420390363
2,0.45105925,0.28554121841042823,1.5e-06,0.4996177,0.23130106425578248
3,0.5028804,0.21890323876965145,2e-06,0.52790827,0.23687070278325895
4,0.48281828,0.23673297346828726,2.5e-06,0.4248885,0.2524063565685485
5,0.36028185,0.2889838708928958,3e-06,0.44069737,0.27089477261868355
6,0.43671292,0.23197918329336592,3.5e-06,0.4599196,0.24185672182119022
7,0.43107873,0.23604742496097383,4e-06,0.4499368,0.248022876168469
8,0.43271562,0.246354228332023,4.5e-06,0.4353932,0.2457495283875934
9,0.45281595,0.2349812504848255,5e-06,0.46404973,0.241521815887061
10,0.45242974,0.2318126859358889,5.5e-06,0.4603632,0.23327681110727247
11,0.46823516,0.20872341989239385,6e-06,0.49190968,0.20519597105995727
12,0.5064553,0.18549334047587984,6.5e-06,0.5222607,0.19060519498637798
13,0.5107534,0.18086189998329177,7e-06,0.5265324,0.19117779864721848
14,0.50743324,0.1793440323882318,7.5e-06,0.48722482,0.19716999495500778
15,0.5279553,0.17717945344807687,8e-06,0.5308578,0.18744857450612992
16,0.5178895,0.1762838072936274,8.5e-06,0.561085,0.18329439323261823
17,0.5218416,0.1748056388947569,9e-06,0.5064098,0.18729325793044244
18,0.51455855,0.17898701903597547,9.5e-06,0.5508193,0.18355199541204992
19,0.51908356,0.17393126205468074,1e-05,0.5006709,0.18759652881559083
20,0.53250194,0.17218603209666805,9.719733e-06,0.51217514,0.1837803217409507
21,0.548044,0.16722762627788812,9.447321e-06,0.567381,0.17485586519813667
22,0.5866532,0.15985146121021884,9.182543e-06,0.6224121,0.16488832599728975
23,0.6341532,0.15127614192336222,8.925186e-06,0.6673861,0.15369908428531542
24,0.6810707,0.13927473630191703,8.675042e-06,0.69147694,0.14830040565856067
25,0.707701,0.13060193285397342,8.431909e-06,0.67993385,0.15339431837026768
26,0.7365979,0.12055505547395423,8.19559e-06,0.682642,0.14927881741649274
27,0.7666759,0.10944314435132094,7.965895e-06,0.7083127,0.1462462442678613
28,0.80541813,0.09641574335652699,7.742637e-06,0.6901215,0.15814128462893542
29,0.8415861,0.08101467592141413,7.525636e-06,0.687715,0.164238013931537
30,0.8837762,0.06322185799007088,7.314717e-06,0.6934223,0.1888264712184528
31,0.90899,0.050567285664712004,7.1097093e-06,0.69082195,0.20464071171509332
32,0.92603105,0.04159296196215137,6.9104476e-06,0.6766657,0.20272200886747116
33,0.9415576,0.03347866623482818,6.7167703e-06,0.67803913,0.22698561876849527
34,0.9551971,0.026773305149131888,6.528521e-06,0.67776054,0.23937292525024617
35,0.963144,0.02245313014472564,6.345548e-06,0.6837502,0.25543164913128485
36,0.97036064,0.018613789144937255,6.167703e-06,0.6739906,0.26021763103521556
37,0.97233516,0.016828038322283665,5.9948425e-06,0.67759,0.2790192985753187
